Registration Number,Name,CGPA,Projects,Internships,Courses,No_of_Certs,Certifications,LeetCode Score,Placement Status,Company Portfolio,10th Grade Percentage,12th Grade Percentage,CTC,IQ,Gender,Skills,Skill Score
20CSE0092,Ashley Esparza,8.66,10,['UI Design'],"['CSC Frontend', 'CSC Frontend', 'VLSI', 'Cloud Engineer']",4,4,234,Not Placed,None,77,82,6 LPA,82,Female,"['Java', 'Machine Learning', 'Web Development', 'Database Management', 'Data Analysis']",4
20CSE0181,Jessica Jensen,6.35,3,"['UI Design', 'ML/AI', 'Business Management']","['CSC Frontend', 'System Design']",2,5,23,Not Placed,None,97,63,1 CR LPA,104,Female,"['Web Development', 'Database Management', 'Communication']",10
20CSE0008,Miss Elizabeth Alvarez,6.32,5,"['Cloud Engineer', 'ML/AI']","['Cloud Engineer', 'Chip Design']",2,2,487,Placed,DREAM,64,76,30 LPA,138,Male,"['Database Management', 'Web Development', 'Python', 'Java', 'C++']",6
20EEE0190,Amanda Alexander,7.32,4,['Chip Design'],"['Chip Design', 'ML Engineer']",2,2,63,Not Placed,None,67,74,20 LPA,134,Female,['Machine Learning'],4
20CSE0003,Douglas Gonzalez,8.57,6,"['System Design', 'Hardware Engineer']","['Cloud Engineer', 'System Design', 'ML Engineer']",3,9,36,Placed,DREAM,86,98,60 LPA,101,Female,"['Web Development', 'Machine Learning', 'Python']",4
20ECE0320,Charles Chavez,6.04,2,"['Business Management', 'Software Engineer']",['Cloud Engineer'],1,1,108,Not Placed,None,72,95,60 LPA,121,Male,"['Machine Learning', 'Database Management', 'Web Development', 'Java']",9
20CSE0117,Michael Warren,8.31,1,"['Software Engineer', 'Hardware Engineer', 'Software Engineer']",['ML Engineer'],1,7,39,Placed,SUPER DREAM,87,100,40 LPA,106,Female,"['Java', 'Machine Learning', 'Communication']",4
20EEE0023,Timothy Thomas,8.85,9,"['UI Design', 'Cloud Engineer', 'UI Design']","['ML Engineer', 'VLSI', 'CSC Frontend', 'CSC Frontend']",4,6,195,Not Placed,None,77,85,6 LPA,84,Female,"['Python', 'Machine Learning', 'Java', 'C++', 'Database Management']",10
20CSE0249,Jessica Neal,8.82,3,['Robotics'],"['VLSI', 'CSC Backend', 'CSC Frontend', 'ML Engineer']",4,10,77,Not Placed,None,88,93,10 LPA,142,Female,['Java'],1
20EEE0027,Nicholas Nichols,9.52,8,"['Chip Design', 'System Design', 'System Design']","['ML Engineer', 'VLSI', 'CSC Frontend', 'Chip Design']",4,3,143,Not Placed,None,83,74,60 LPA,108,Female,['Communication'],6
